timestamp,timestamp_ns,rtt_ms,ttl,bytes,rssi_dbm,noise_dbm,tx_rate_mbps,channel,phy_mode,mcs,nss
2026-06-11 12:31:27.230,1781173887230059000,9.734000,64,64,,,,,,,
2026-06-11 12:31:30.251,1781173890251575000,2.974000,64,64,-54,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:31.685,1781173891685579000,12.322000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:32.690,1781173892690919000,11.602000,64,64,-52,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:33.695,1781173893696003000,10.546000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:34.700,1781173894701124000,9.881000,64,64,-52,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:35.705,1781173895706194000,10.751000,64,64,-50,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:36.711,1781173896711284000,12.804000,64,64,-51,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:37.716,1781173897716404000,11.903000,64,64,-49,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:38.721,1781173898721492000,6.986000,64,64,-51,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:39.726,1781173899726609000,10.042000,64,64,-50,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:40.731,1781173900731722000,9.356000,64,64,-51,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:41.736,1781173901736861000,11.703000,64,64,-51,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:42.741,1781173902741971000,10.097000,64,64,-50,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:43.746,1781173903746952000,7.856000,64,64,-49,-96,360.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:44.751,1781173904752149000,11.569000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:45.756,1781173905757061000,11.623000,64,64,-50,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
2026-06-11 12:31:46.762,1781173906762249000,7.890000,64,64,-51,-96,400.0,"5g48 (40 MHz, Active)",11ac,9,2
